,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
1703,2062,Elder Misanthropy,spotify:track:4rvnYpOi8QyhRrnMreWYoB,4rvnYpOi8QyhRrnMreWYoB,The Black Dahlia Murder,733,0.29100000000000004,0.996,10,0,2.18e-06,0.0161,119.419,0.109,0.109,-7.9,angry
1728,2128,Face to the Floor,spotify:track:6sREV6MpLHTqcOmBK5mvYF,6sREV6MpLHTqcOmBK5mvYF,Chevelle,425,0.515,0.857,5,1,1.25e-05,0.0954,92.02799999999999,0.669,0.0511,-4.582,angry
2927,3649,Ladbroke Grove,spotify:track:7b4ky1LlQLFhXHmhZkFgqV,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,1110,0.903,0.8390000000000001,11,0,0.0939,0.0,133.986,0.727,0.20800000000000002,-9.447000000000001,angry
1810,2225,Dust to Dust,spotify:track:51wFNWeRcxWoFqVFsNCg93,51wFNWeRcxWoFqVFsNCg93,Misfits,755,0.317,0.953,1,1,7.890000000000001e-05,0.00195,187.519,0.161,0.105,-5.88,angry
5085,5085,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,spotify:track:2Foc5Q5nqNiosCNqttzHof,2Foc5Q5nqNiosCNqttzHof,Daft Punk,1308,0.794,0.811,6,0,0.0426,1.07e-06,116.047,0.862,0.038,-8.966,party
5385,5385,On The Drums,spotify:track:7d2RpBy2qTpFnzXd5jwX5F,7d2RpBy2qTpFnzXd5jwX5F,Pickle,2167,0.752,0.957,9,1,0.00362,0.765,123.992,0.91,0.0512,-4.305,party
4588,6128,Love The Way You Lie,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,6UaRii9AH6Zss9xNMEQ2M9,Eminem,355,0.746,0.922,10,1,0.24600000000000002,0.0,86.961,0.638,0.23600000000000002,-5.013999999999999,sad
2843,3608,Needy,spotify:track:3nLGP7w6JmUQb4u8UW14L0,3nLGP7w6JmUQb4u8UW14L0,ItsAMoney,1369,0.521,0.259,7,0,0.9179999999999999,0.105,86.99700000000001,0.261,0.0331,-10.236,sad
2963,3817,Life's A Mess (feat. Halsey),spotify:track:4h5N4KyWZMtpeH9vhXSXjd,4h5N4KyWZMtpeH9vhXSXjd,Juice WRLD,47,0.63,0.446,1,1,0.337,0.0,143.078,0.177,0.0351,-8.9,sad
906,1135,Carolina,spotify:track:77t8kbd95oNfL1Au4BOI2H,77t8kbd95oNfL1Au4BOI2H,Devendra Banhart,492,0.557,0.138,7,1,0.9640000000000001,0.289,105.853,0.239,0.028999999999999998,-15.622,sad
640,680,do re mi,spotify:track:6CUBgX8bXC5YQCkdgRHqyg,6CUBgX8bXC5YQCkdgRHqyg,blackbear,2,0.745,0.595,8,1,0.00483,1.13e-05,110.96600000000001,0.16899999999999998,0.0486,-6.35,angry
9989,9989,Homegrown,spotify:track:1qwnPVOIJjAFfCc40Etb1D,1qwnPVOIJjAFfCc40Etb1D,Zac Brown Band,1883,0.711,0.801,6,1,0.0244,0.000113,105.006,0.956,0.029,-3.742,party
8799,8799,Look Back at It,spotify:track:7sPMfN5b0ZssJ3E7IlNrgl,7sPMfN5b0ZssJ3E7IlNrgl,A Boogie Wit da Hoodie,147,0.786,0.571,3,0,0.434,0,95.964,0.571,0.0417,-5.041,party
6958,6958,pporappippam 보라빛 밤,spotify:track:7oQh96s9YemWG3A4zkIbrU,7oQh96s9YemWG3A4zkIbrU,SUNMI,2703,0.714,0.828,1,0,0.0513,0.0652,120.014,0.318,0.0428,-4.68,party
2680,3328,We Own The Night,spotify:track:4rc2WNOt2w8BHfQjBC8PO0,4rc2WNOt2w8BHfQjBC8PO0,Dance Gavin Dance,1037,0.22399999999999998,0.905,5,0,0.0509,0.0,78.318,0.485,0.0722,-3.239,angry
624,661,Wrong Side of Heaven,spotify:track:11Ojp7JniVvwd0gmgvyKkd,11Ojp7JniVvwd0gmgvyKkd,Five Finger Death Punch,165,0.48100000000000004,0.932,4,0,0.007209999999999999,0.0,149.99200000000002,0.5429999999999999,0.083,-4.592,angry
978,1069,Wanted Dead Or Alive,spotify:track:4Zj9VM4fO1KwkU3lFaECsW,4Zj9VM4fO1KwkU3lFaECsW,Bon Jovi,312,0.257,0.8190000000000001,7,1,0.085,0.015,150.35399999999998,0.267,0.0422,-3.562,angry
2527,3251,In My Blood,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,2QZ7WLBE8h2y1Y5Fb8RYbH,Shawn Mendes,129,0.622,0.7120000000000001,5,1,0.0573,0.0,140.025,0.48700000000000004,0.066,-7.321000000000001,sad
