,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
4712,Intoxicated - Radio Edit,spotify:track:0dbQ4h3cs8QE5fOPMYdDrX,0dbQ4h3cs8QE5fOPMYdDrX,0.792,0.688,0,1,0.00435,0.00477,124.987,0.502,0.0386,-4.008,party,Martin Solveig
4713,Going Bad (feat. Drake),spotify:track:2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,0,0.259,0,86.003,0.544,0.0905,-6.365,party,Meek Mill
4714,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,1,0.00513,0,155.008,0.446,0.222,-3.714,party,Travis Scott
4715,Goin Baby,spotify:track:3WyRgi8CzQnhzO0xw79tTS,3WyRgi8CzQnhzO0xw79tTS,0.755,0.772,6,1,0.128,0,132.906,0.678,0.4,-5.585,party,DaBaby
4716,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",spotify:track:6aCxdt2bMItKgGKoznDppY,6aCxdt2bMItKgGKoznDppY,0.576,0.602,0,0,0.249,0.00062,141.345,0.56,0.315,-6.591,party,Hermitude
4717,Yes Indeed,spotify:track:1wsf1YFQSYND45y0GzJmf7,1wsf1YFQSYND45y0GzJmf7,0.964,0.346,5,0,0.035,0,119.958,0.562,0.53,-9.309,party,Lil Baby
4718,Thotiana,spotify:track:3oh6SCCeLuXhFpEyepla6G,3oh6SCCeLuXhFpEyepla6G,0.906,0.382,10,0,0.18,0,104.025,0.391,0.269,-12.89,party,Blueface
4719,Turn Me On (feat. Vula),spotify:track:0qaWEvPkts34WF68r8Dzx9,0qaWEvPkts34WF68r8Dzx9,0.737,0.828,11,1,0.0149,0.000583,124.052,0.517,0.0396,-4.711,party,Riton
4720,Better Now,spotify:track:7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,1,0.331,0,145.038,0.341,0.04,-5.804,party,Post Malone
4721,One Kiss (with Dua Lipa),spotify:track:7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,0,0.037,2.19e-05,123.994,0.592,0.11,-3.24,party,Calvin Harris
4722,Body,spotify:track:21RzyxY3EFaxVy6K4RqaU9,21RzyxY3EFaxVy6K4RqaU9,0.752,0.764,1,1,0.0476,9.44e-05,121.958,0.582,0.038,-4.399,party,Loud Luxury
4723,"Never Recover (Lil Baby & Gunna, Drake)",spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,6wWaVoUOzLQJHd3bWAUpdZ,0.753,0.686,1,0,0.0677,0,132.055,0.886,0.284,-5.415,party,Lil Baby
4724,Baby Sitter (feat. Offset),spotify:track:7f1zjZG77S891Uv4O68yfk,7f1zjZG77S891Uv4O68yfk,0.852,0.73,1,1,0.0219,0,92.506,0.394,0.0579,-5.803,party,DaBaby
