,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
3195,Excuse Me Sir,spotify:track:5LbLrvns1h0ta3EqNmn0qP,5LbLrvns1h0ta3EqNmn0qP,Big Nobeli,1374,0.795,0.382,9,1,0.0634,1.22e-06,65.018,0.304,0.366,-13.856,sex
3196,Head on the Tracks,spotify:track:5M0CDx19b9E3K3bvWkULOo,5M0CDx19b9E3K3bvWkULOo,Trevor Drury,1375,0.534,0.661,11,1,0.0566,0.00281,140.117,0.393,0.0268,-5.105,sex
3197,Everyday Is So Empty,spotify:track:5OaLOaGLxvx9bAitWp7ab1,5OaLOaGLxvx9bAitWp7ab1,beetyl,1376,0.585,0.288,9,1,0.0297,0.0375,99.941,0.0965,0.0361,-14.699,sex
3198,Fiend,spotify:track:5mjpnFAaoweeq6nyLNcCyg,5mjpnFAaoweeq6nyLNcCyg,Atelo,1377,0.709,0.527,0,0,0.456,3.57e-06,92.999,0.738,0.0718,-7.738,sex
3199,Forever On,spotify:track:5moIDJV1s3ax6eW5g79WTW,5moIDJV1s3ax6eW5g79WTW,skinsNbones,1378,0.575,0.968,2,1,0.0849,0.0114,137.927,0.589,0.0776,-4.064,sex
3200,Soy Testigo,spotify:track:5MjcmbzgefpaXsssG6715x,5MjcmbzgefpaXsssG6715x,John R,1379,0.893,0.404,0,0,0.554,0.00841,129.999,0.667,0.134,-12.002,sex
3201,Ginger Bread Girl,spotify:track:5MBMYGFahiRr9xnFXUlFv7,5MBMYGFahiRr9xnFXUlFv7,King of Cali,1380,0.882,0.34,2,1,0.528,0.00847,129.97,0.255,0.245,-12.032,sex
3202,No Drama,spotify:track:5Ex3M1vHASyrdr3wPiHW5b,5Ex3M1vHASyrdr3wPiHW5b,Super K,1381,0.664,0.491,3,0,0.199,0,116.942,0.468,0.0753,-13.781,sex
3203,Thicc,spotify:track:5oLtSXvtKZ69TLgbFRiljD,5oLtSXvtKZ69TLgbFRiljD,Killa Siah,1382,0.929,0.494,1,1,0.0223,0,99.989,0.215,0.342,-11.342,sex
3204,Ipofisi,spotify:track:5oXL96iMIXDMt1YiBlfuR0,5oXL96iMIXDMt1YiBlfuR0,Elek Style,1383,0.668,0.855,9,0,0.357,0,91.849,0.347,0.315,-6.625,sex
3205,MOONWOK,spotify:track:5NlxbHUb2Ri0PfOOtXrkwT,5NlxbHUb2Ri0PfOOtXrkwT,LIL DROOP,1384,0.562,0.439,11,1,0.152,0.0166,86.748,0.185,0.211,-10.658,sex
3206,You Or Us,spotify:track:5g67cTWXbyXzEFNvCBlyLs,5g67cTWXbyXzEFNvCBlyLs,G!LLY,1385,0.396,0.512,9,1,0.189,0.000158,120.3,0.628,0.264,-16.732,sex
3207,Run Up the Money,spotify:track:5p6lPRN7UJZlAhub5J00rO,5p6lPRN7UJZlAhub5J00rO,2 Trill,1386,0.855,0.538,2,1,0.0583,6.06e-05,134.938,0.648,0.263,-9.71,sex
3208,Association,spotify:track:5PU1cXBsX0CKcyww4MioVG,5PU1cXBsX0CKcyww4MioVG,Melvy Pockets,1387,0.637,0.321,10,1,0.000696,0.00016,135.036,0.0495,0.0552,-16.484,sex
3209,How You Move,spotify:track:5rVWNLN7wWo2eV2pOsEkjZ,5rVWNLN7wWo2eV2pOsEkjZ,Eazy A,1388,0.774,0.526,11,0,0.269,0,164.044,0.549,0.511,-10.27,sex
3210,Cruel Summer - Extended Club Mix,spotify:track:5rX6OAYvWxuJPAlHGrlvpt,5rX6OAYvWxuJPAlHGrlvpt,DIMIX,1389,0.781,0.707,1,0,0.0476,0.0871,119.96,0.542,0.0754,-8.366,sex
3211,How We Do It,spotify:track:5PuyiFl9dogUs70oYYhLJ8,5PuyiFl9dogUs70oYYhLJ8,Iakopo,1390,0.661,0.637,7,1,0.0329,0,122.661,0.532,0.314,-6.582,sex
3212,Higher,spotify:track:5GtFCwRUfvQHx6Dl4OZj09,5GtFCwRUfvQHx6Dl4OZj09,Robert Holmes,1391,0.646,0.754,11,1,0.571,0,101.008,0.532,0.0293,-5.06,sex
3213,Type,spotify:track:5PK2mGhIRMMzA8mGDgaDaT,5PK2mGhIRMMzA8mGDgaDaT,Ehoff,1392,0.705,0.388,1,1,0.0685,0,105.022,0.373,0.0413,-12.024,sex
3214,Wrong Motherfucker,spotify:track:5sLnAwWUpntWMxFM3g3H6W,5sLnAwWUpntWMxFM3g3H6W,G!LLY,1385,0.58,0.279,1,0,0.103,0,79.017,0.152,0.324,-18.175,sex
3215,Bless Me,spotify:track:5sPHREZV5O3F8mamhnUhHq,5sPHREZV5O3F8mamhnUhHq,G!LLY,1385,0.7,0.332,1,0,0.906,5.63e-05,90.008,0.35,0.22,-20.363,sex
3216,Minecraft,spotify:track:5Sx1flxVBtbwvtpAcBEuX8,5Sx1flxVBtbwvtpAcBEuX8,Visionz2turnt,1393,0.723,0.674,1,1,0.00793,0,145.067,0.358,0.0405,-8.847,sex
3217,Coronavirus,spotify:track:5GlRJfEUHCnEoS1sDvT1nD,5GlRJfEUHCnEoS1sDvT1nD,Blaze Bar$,1394,0.721,0.543,4,0,0.418,0,70.01,0.378,0.32,-6.661,sex
3218,Heartbreak Interlude Pt. 1,spotify:track:5SZEpfgcAdMNKRxJtTMAOq,5SZEpfgcAdMNKRxJtTMAOq,Killa Siah,1382,0.528,0.564,6,0,0.305,0,58.022,0.511,0.479,-11.041,sex
3219,Run It Up,spotify:track:5SSk8zG30aeYOSIls0HfXs,5SSk8zG30aeYOSIls0HfXs,DJ PacWeezy,1395,0.713,0.935,4,0,0.0139,0,100.019,0.466,0.283,-4.072,sex
3220,Prayers Up,spotify:track:5svyK78HrNO7v8fIyOB0uJ,5svyK78HrNO7v8fIyOB0uJ,Soulja South,1396,0.794,0.478,1,1,0.0108,0,159.977,0.71,0.413,-12.163,sex
3221,Overtime,spotify:track:5Od0IqDx4b3lUOPZ8VPzjt,5Od0IqDx4b3lUOPZ8VPzjt,S.M.D Music,1397,0.654,0.589,1,1,0.0207,0,79.976,0.711,0.231,-6.519,sex
3222,ALONE,spotify:track:5otmIlALhbb0pMa84GIcJi,5otmIlALhbb0pMa84GIcJi,Harvey Betts,1398,0.53,0.663,0,1,0.379,0,170.011,0.154,0.0503,-7.552,sex
3223,Ooh Ooh,spotify:track:5tEyy4LT2vwpbqtX7PVuIh,5tEyy4LT2vwpbqtX7PVuIh,Shorty Kall,1399,0.814,0.806,2,1,0.000352,0.00133,100.016,0.176,0.0841,-3.677,sex
3224,Heart Full of Pain,spotify:track:5iBlLFEjqsOD74Rkn24BVA,5iBlLFEjqsOD74Rkn24BVA,Do or Die,1400,0.297,0.965,9,1,0.000117,0.0016,131.108,0.148,0.151,-4.693,sex
3225,Mob Ties,spotify:track:5DMPK5QiSlvTbb0bH7cFNR,5DMPK5QiSlvTbb0bH7cFNR,RealDeal Berns,1401,0.626,0.72,10,0,0.0951,0,166.232,0.569,0.442,-4.85,sex
3226,Treasure Route,spotify:track:5e48AZ47qOOSNpiwzCqiVJ,5e48AZ47qOOSNpiwzCqiVJ,Winn,1402,0.779,0.398,10,0,0.345,0,160.094,0.68,0.533,-10.655,sex
3227,Find My Way,spotify:track:5R1OeVJL8iaw7tTZnqlS9k,5R1OeVJL8iaw7tTZnqlS9k,Team Elevation,1403,0.508,0.585,1,1,0.0504,0,124.094,0.38,0.259,-9.625,sex
3228,Black Ice,spotify:track:5Uc3cIivVmqj2UZKig83er,5Uc3cIivVmqj2UZKig83er,Sammy Calico,1404,0.772,0.65,9,0,0.168,0,158.048,0.355,0.282,-6.648,sex
3229,You gave me a mountain,spotify:track:5o1TT7pKOXu9efF6nH9yNL,5o1TT7pKOXu9efF6nH9yNL,Gary.D.Pearson,1405,0.592,0.525,1,1,0.344,8.79e-05,95.589,0.642,0.0277,-12.223,sex
3230,Get,spotify:track:5TuXIW2oPF574QV2Lc5uMy,5TuXIW2oPF574QV2Lc5uMy,Ismo Z17,1406,0.698,0.56,6,0,0.663,3.86e-06,87.518,0.342,0.0674,-9.345,sex
3231,My God,spotify:track:5RM72VNXz0F7fHjSGSjKXu,5RM72VNXz0F7fHjSGSjKXu,Ejah,1407,0.625,0.743,7,1,0.102,0,160.003,0.788,0.0681,-4.707,sex
3232,Poison,spotify:track:5TSGlaeQScGIsqB6dF4W1S,5TSGlaeQScGIsqB6dF4W1S,KaceyFamily,1408,0.81,0.784,4,0,0.641,0,113.322,0.652,0.362,-6.105,sex
3233,Loud Section,spotify:track:5jo8JpQxM7XQjX5sRRmRzq,5jo8JpQxM7XQjX5sRRmRzq,Kushstar Jupiter,1409,0.676,0.76,7,1,0.0398,0,148.107,0.196,0.0515,-5.687,sex
3234,Fuck You Pay Me,spotify:track:5UcPpqMuJpIGmUyBP5YvI0,5UcPpqMuJpIGmUyBP5YvI0,Oscar Biggs,1410,0.619,0.648,6,0,0.145,0,176.404,0.461,0.519,-5.148,sex
3237,Know My Rights (feat. Lil Baby),spotify:track:7fsNNSLGG8Wi0nFbufCU6L,7fsNNSLGG8Wi0nFbufCU6L,6LACK,26,0.789,0.419,1,0,0.249,0.0257,117.988,0.542,0.157,-9.874,sex
3239,Seasons (feat. Khalid),spotify:track:1AROE0XcC4ySCxXF65mutZ,1AROE0XcC4ySCxXF65mutZ,6LACK,26,0.6,0.319,0,1,0.692,0.00958,141.96,0.507,0.294,-10.272,sex
3241,ATL Freestyle,spotify:track:3Isj85ak2yj4EndfKFGs9x,3Isj85ak2yj4EndfKFGs9x,6LACK,26,0.74,0.586,0,0,0.361,7.24e-06,79.997,0.523,0.0483,-8.244,sex
