,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
40,0.264,Sam Feldt,happy,0.503,0.754,5.85e-05,7,-3.634,1,37i9dQZF1DXdPec7aLTmlC,0.0424,116.524,2 Hearts (feat. Gia Koka),0.597,wonder,14.237166989717254,0.0,0.0,0.0,0.0,4.350864274693309,23.46923421148391,0.0,9.19023970026918
41,0.0436,Julie Bergan,happy,0.685,0.75,0.0,11,-4.8180000000000005,1,37i9dQZF1DXdPec7aLTmlC,0.0837,105.054,Kiss Somebody,0.688,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.00515,Hot Shade,happy,0.654,0.787,0.0,4,-4.999,1,37i9dQZF1DXdPec7aLTmlC,0.0502,123.978,Dive,0.409,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.385,OMI,happy,0.7070000000000001,0.865,0.0,2,-1.749,1,37i9dQZF1DXdPec7aLTmlC,0.0649,104.01899999999999,I Want You,0.381,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.111,Sons Of Maria,happy,0.698,0.774,1.85e-05,1,-5.127999999999999,1,37i9dQZF1DWSf2RDTDayIx,0.0377,123.01899999999999,Anywhere,0.708,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0308,Marshall Jefferson,happy,0.833,0.9279999999999999,0.0974,9,-5.17,0,37i9dQZF1DWSf2RDTDayIx,0.0583,125.99700000000001,It’s Alright,0.912,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0198,Deacon,happy,0.569,0.611,0.0,9,-7.275,1,37i9dQZF1DWSf2RDTDayIx,0.0909,170.12099999999998,Love For The Summer (feat. Loren Gray),0.33399999999999996,wonder,6.450470422144176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.299867942373015
47,0.0409,Steve Brian,happy,0.527,0.763,1.13e-06,1,-7.44,1,37i9dQZF1DWSf2RDTDayIx,0.0415,125.99700000000001,Damage Each Other,0.37200000000000005,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.00116,The Shapeshifters,happy,0.6940000000000001,0.9309999999999999,0.0948,1,-3.4010000000000002,1,37i9dQZF1DWSf2RDTDayIx,0.0382,123.00200000000001,Finally Ready (feat. Billy Porter) - David Penn Remix,0.943,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.615,Natio,happy,0.8170000000000001,0.591,0.00025499999999999996,2,-10.37,0,37i9dQZF1DWSf2RDTDayIx,0.0592,119.995,Only Way,0.5379999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0054399999999999995,Oliver Heldens,happy,0.7929999999999999,0.701,0.0,2,-4.763999999999999,1,37i9dQZF1DWSf2RDTDayIx,0.0428,123.964,Set Me Free (feat. MAX),0.62,wonder,5.757323241584231,0.0,0.0,0.0,0.0,0.0,17.116343261925785,0.0,0.0
51,0.00105,Catz 'n Dogz,happy,0.677,0.934,0.867,7,-6.244,0,37i9dQZF1DWSf2RDTDayIx,0.0402,128.002,Modern Romance,0.866,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.008620000000000001,Cedric Gervais,happy,0.628,0.9279999999999999,0.713,0,-3.698,0,37i9dQZF1DWSf2RDTDayIx,0.0621,123.95299999999999,Everybody Dance (feat. Nile Rodgers),0.68,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0106,Pleasure Generation,happy,0.6990000000000001,0.932,0.0369,8,-4.769,0,37i9dQZF1DWSf2RDTDayIx,0.0499,124.988,Sacrifice (feat. Salena Mastroianni),0.68,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.335,Deerock,happy,0.634,0.617,0.0,5,-6.5489999999999995,1,37i9dQZF1DWSf2RDTDayIx,0.0821,126.226,Rainbow,0.349,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.000157,Frankie Knuckles,happy,0.573,0.961,0.000775,0,-4.573,1,37i9dQZF1DWSf2RDTDayIx,0.0371,125.01299999999999,Carefree (I Am A Star) - Rocky's Edit,0.853,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0197,SG Lewis,happy,0.8490000000000001,0.682,0.00143,7,-6.2410000000000005,1,37i9dQZF1DWSf2RDTDayIx,0.12300000000000001,121.99700000000001,Feed The Fire (feat. Lucky Daye),0.9279999999999999,wonder,12.900940844288352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0268,SACHI,happy,0.6679999999999999,0.693,0.000204,1,-7.386,1,37i9dQZF1DWSf2RDTDayIx,0.0811,126.07700000000001,You (à la),0.478,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
