,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
710,872,As You Are,spotify:track:3H3qBumaYj67PT3aMEBvAP,3H3qBumaYj67PT3aMEBvAP,The Weeknd,0,0.377,0.329,0,0,0.131,0.00654,173.663,0.0528,0.0569,-9.67,sex
2293,2815,TATI,spotify:track:6SOBCABlykuNrO04rmXpLs,6SOBCABlykuNrO04rmXpLs,6ix9ine,277,0.779,0.767,11,0,0.00214,0,91.981,0.523,0.258,-5.462,sex
3025,3906,Therapy,spotify:track:25YvGDl2zSE0pH8jrMZ6aY,25YvGDl2zSE0pH8jrMZ6aY,Khalid,51,0.7070000000000001,0.484,9,0,0.8909999999999999,0.00344,92.988,0.43,0.0481,-6.579,sad
1455,1790,Losing My Religion,spotify:track:2wVXSc0IrQVodHESUxVUJA,2wVXSc0IrQVodHESUxVUJA,R.E.M.,742,0.664,0.852,9,0,0.174,0.0,125.632,0.807,0.028999999999999998,-4.996,sad
2721,3480,Georgia,spotify:track:6Fha6tXHkL3r9m9nNqQG8p,6Fha6tXHkL3r9m9nNqQG8p,Vance Joy,1332,0.38799999999999996,0.66,11,1,0.312,0.000307,143.554,0.401,0.0308,-7.372000000000001,sad
86,86,Into You,spotify:track:7yHEDfrJNd0zWOfXwydNH0,7yHEDfrJNd0zWOfXwydNH0,Ariana Grande,73,0.636,0.727,9,1,0.0161,1.12e-06,107.988,0.358,0.106,-5.852,party
459,496,Beautiful (feat. Camila Cabello),spotify:track:4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,Bazzi,51,0.638,0.717,2,1,0.346,0,100.027,0.249,0.0337,-4.722,sex
2028,2028,Don't Tell 'Em,spotify:track:0Dc7J9VPV4eOInoxUiZrsL,0Dc7J9VPV4eOInoxUiZrsL,Jeremih,556,0.856,0.527,2,1,0.392,0,98.052,0.386,0.0997,-5.225,party
200,200,Back Again,spotify:track:2wBazaNpSZ5dzIkPznV9uS,2wBazaNpSZ5dzIkPznV9uS,Adam Nystrom,138,0.509,0.644,4,1,0.295,0,83.309,0.436,0.388,-7.871,party
2595,3350,Violent Crimes,spotify:track:3s7MCdXyWmwjdcWh7GWXas,3s7MCdXyWmwjdcWh7GWXas,Kanye West,1264,0.669,0.419,1,0,0.376,0.0,109.81299999999999,0.0397,0.522,-6.724,sad
1751,2214,Slow Wine Bass Line (feat. Teddy Riley),spotify:track:31CChSC1Sz3IG6dLjSpiM4,31CChSC1Sz3IG6dLjSpiM4,Lloyd,455,0.56,0.671,0,0,0.153,0,118.933,0.555,0.0491,-8.125,sex
1353,1692,Destination Unknown,spotify:track:0QyMDyosGai50pjaFbC1NO,0QyMDyosGai50pjaFbC1NO,Missing Persons,718,0.698,0.53,5,1,0.0173,0.0254,120.735,0.272,0.0491,-14.035,sex
882,1111,Pity Party,spotify:track:5okmgWoTrf2cBsmcEbrSw3,5okmgWoTrf2cBsmcEbrSw3,Madi,475,0.831,0.557,0,1,0.128,1.5e-06,136.061,0.77,0.0819,-7.506,sad
909,909,Uptown Funk (feat. Bruno Mars),spotify:track:32OlwWuMpZ6b0aN2RZOeMS,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,453,0.856,0.609,0,1,0.00801,8.15e-05,114.988,0.9279999999999999,0.0824,-7.223,party
1096,1393,But Never Alone,spotify:track:1WwIGUhFXy1r6g3LiFQigc,1WwIGUhFXy1r6g3LiFQigc,Noxi,552,0.638,0.369,5,0,0.0632,0.908,179.996,0.69,0.109,-16.765,sex
2033,2645,"Fleurs Du Mal - Live In Stephansdom, Vienna, Austria / 2008",spotify:track:5g3c6qPeHEq7alqlpfm0WN,5g3c6qPeHEq7alqlpfm0WN,Sarah Brightman,987,0.449,0.621,9,0,0.314,0.0138,94.99799999999999,0.14800000000000002,0.0324,-7.669,sad
2065,2677,Beete Lamhein,spotify:track:0zQa7QXLpUZfrrsWbgDZll,0zQa7QXLpUZfrrsWbgDZll,KK,1026,0.257,0.583,7,1,0.603,0.00028900000000000003,160.127,0.217,0.0429,-8.185,sad
1896,1896,Pelos,spotify:track:5iaBhabZxPCKJeu6UmuPaJ,5iaBhabZxPCKJeu6UmuPaJ,Tatiana,889,0.388,0.918,0,1,0.228,1.11e-06,200.527,0.897,0.104,-3.729,party
25,25,OK,spotify:track:3bWAqKDWg6u1davspr5IkS,3bWAqKDWg6u1davspr5IkS,Robin Schulz,23,0.653,0.81,7,0,0.118,0,121.951,0.583,0.0558,-6.032,party
3064,3064,You're Ma Chérie - DJ Antoine vs Mad Mark 2k13 Radio Edit,spotify:track:3UZOvqjzDUNKuVwJEJMoGC,3UZOvqjzDUNKuVwJEJMoGC,DJ Antoine,456,0.752,0.66,8,1,0.0421,1.42e-05,127.89,0.799,0.258,-4.709,party
1647,2064,Tennessee Whiskey,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,868,0.392,0.37,9,1,0.205,0.0096,48.718,0.512,0.0298,-10.888,sex
