,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID
27848,http://www.billboard.com/charts/hot-100/1991-06-08,6/8/1991,64,It Ain't Over 'til It's Over,Lenny Kravitz,It Ain't Over 'til It's OverLenny Kravitz,1,,64,1,spotify:track:6VnpKLtfNH4Dk09YSGPSyR
27849,http://www.billboard.com/charts/hot-100/1992-07-11,7/11/1992,64,Jam,Michael Jackson,JamMichael Jackson,1,,64,1,spotify:track:2EI8uljBPaI23VUr2tv4eS
27850,http://www.billboard.com/charts/hot-100/1995-08-26,8/26/1995,64,"I Like It, I Love It",Tim McGraw,"I Like It, I Love ItTim McGraw",1,,64,1,spotify:track:3IvcWWehbBcBR4YZxlGM9R
27856,http://www.billboard.com/charts/hot-100/1997-11-29,11/29/1997,64,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,,64,1,spotify:track:5kHgrRO3hMDPehtH9VhYQc
27857,http://www.billboard.com/charts/hot-100/2000-08-12,8/12/2000,64,It's My Life,Bon Jovi,It's My LifeBon Jovi,1,,64,1,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l
27858,http://www.billboard.com/charts/hot-100/2003-02-22,2/22/2003,64,Hell Yeah,Ginuwine Featuring Baby,Hell YeahGinuwine Featuring Baby,1,,64,1,spotify:track:5DLkPmyenHS2uJclC8nPCA
27860,http://www.billboard.com/charts/hot-100/2003-08-30,8/30/2003,64,Here Without You,3 Doors Down,Here Without You3 Doors Down,1,,64,1,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4
27861,http://www.billboard.com/charts/hot-100/2004-03-06,3/6/2004,64,If I Ain't Got You,Alicia Keys,If I Ain't Got YouAlicia Keys,1,,64,1,spotify:track:3XVBdLihbNbxUwZosxcGuJ
27862,http://www.billboard.com/charts/hot-100/2005-01-29,1/29/2005,64,Like Toy Soldiers,Eminem,Like Toy SoldiersEminem,1,,64,1,spotify:track:6CN3e26iQSj1N5lomh0mfO
27864,http://www.billboard.com/charts/hot-100/2009-08-29,8/29/2009,64,Hot Mess,Cobra Starship,Hot MessCobra Starship,1,,64,1,spotify:track:18eoNBn1L1li2TvPa2DupB
27867,http://www.billboard.com/charts/hot-100/2012-09-22,9/22/2012,64,Gangnam Style,PSY,Gangnam StylePSY,1,,64,1,spotify:track:03UrZgTINDqvnUMbbIMhql
27869,http://www.billboard.com/charts/hot-100/2013-12-14,12/14/2013,64,Let It Go,Demi Lovato,Let It GoDemi Lovato,1,,64,1,spotify:track:1A2PVHd6kWaMlaJVkMfXmz
27871,http://www.billboard.com/charts/hot-100/2017-04-08,4/8/2017,64,Lose You,Drake,Lose YouDrake,1,,64,1,spotify:track:2Na0z2gfN67Rzf0vp74Wi3
27873,http://www.billboard.com/charts/hot-100/2017-05-27,5/27/2017,64,Malibu,Miley Cyrus,MalibuMiley Cyrus,1,,64,1,spotify:track:1UZOjK1BwmwWU14Erba9CZ
27874,https://www.billboard.com/charts/hot-100/2018-01-27,1/27/2018,64,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie","KEKE6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",1,,64,1,spotify:track:14PlDNjNh3pXyHXzkhX8n5
27876,https://www.billboard.com/charts/hot-100/2018-10-06,10/6/2018,64,Head Above Water,Avril Lavigne,Head Above WaterAvril Lavigne,1,,64,1,spotify:track:7gY3cyGcB2wnk2xDXiA0pe
27878,https://www.billboard.com/charts/hot-100/2019-10-26,10/26/2019,64,Kinfolks,Sam Hunt,KinfolksSam Hunt,1,,64,1,spotify:track:53F1MVa1BWUkTBbVqgVAfN
27879,http://www.billboard.com/charts/hot-100/1958-09-13,9/13/1958,65,It's Only Make Believe,Conway Twitty,It's Only Make BelieveConway Twitty,1,,65,1,spotify:track:1xVOttVNT27FBTD8iHjOfU
27880,http://www.billboard.com/charts/hot-100/1958-11-01,11/1/1958,65,I Got Stung,Elvis Presley,I Got StungElvis Presley,1,,65,1,spotify:track:0IDFXLMABcj61OKI3L05A0
27881,http://www.billboard.com/charts/hot-100/1959-02-21,2/21/1959,65,Never Be Anyone Else But You,Ricky Nelson,Never Be Anyone Else But YouRicky Nelson,1,,65,1,spotify:track:0snHlyyyUp2hKYEz7ffmkx
27883,http://www.billboard.com/charts/hot-100/1959-08-29,8/29/1959,65,Just Ask Your Heart,Frankie Avalon,Just Ask Your HeartFrankie Avalon,1,,65,1,spotify:track:2GxM8E6m8433tLkS3xmUMf
27884,http://www.billboard.com/charts/hot-100/1960-08-27,8/27/1960,65,Mr. Custer,Larry Verne,Mr. CusterLarry Verne,1,,65,1,spotify:track:54UFvpOyoqlUu7N09UymMz
27886,http://www.billboard.com/charts/hot-100/1962-04-07,4/7/1962,65,Funny Way Of Laughin',Burl Ives,Funny Way Of Laughin'Burl Ives,1,,65,1,spotify:track:1hQ41No89ehwGgOnub7CTv
27887,http://www.billboard.com/charts/hot-100/1962-07-07,7/7/1962,65,Heart In Hand,Brenda Lee,Heart In HandBrenda Lee,1,,65,1,spotify:track:6wI57Jgz7qLaCr8PDG80Gv
27888,http://www.billboard.com/charts/hot-100/1962-11-24,11/24/1962,65,Hotel Happiness,Brook Benton,Hotel HappinessBrook Benton,1,,65,1,spotify:track:2hhYxAqLdr49NaNFuifPAa
27889,http://www.billboard.com/charts/hot-100/1963-02-16,2/16/1963,65,Let's Limbo Some More,Chubby Checker,Let's Limbo Some MoreChubby Checker,1,,65,1,spotify:track:20PVWjltSTDX37f6HK89Qh
27890,http://www.billboard.com/charts/hot-100/1964-02-29,2/29/1964,65,My Heart Belongs To Only You,Bobby Vinton,My Heart Belongs To Only YouBobby Vinton,1,,65,1,spotify:track:1TnDAb0MUJEAK7ajhOZnc7
27891,http://www.billboard.com/charts/hot-100/1964-09-12,9/12/1964,65,Girl (Why You Wanna Make Me Blue),The Temptations,Girl (Why You Wanna Make Me Blue)The Temptations,1,,65,1,spotify:track:51bcLxmqO6C4bCHQOKecpM
27892,http://www.billboard.com/charts/hot-100/1966-04-09,4/9/1966,65,Leaning On The Lamp Post,Herman's Hermits,Leaning On The Lamp PostHerman's Hermits,1,,65,1,spotify:track:13BBUy0iYfRwruBRbZqKME
27893,http://www.billboard.com/charts/hot-100/1966-08-27,8/27/1966,65,Eleanor Rigby,The Beatles,Eleanor RigbyThe Beatles,1,,65,1,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q
27894,http://www.billboard.com/charts/hot-100/1966-10-22,10/22/1966,65,Look Through My Window,The Mamas & The Papas,Look Through My WindowThe Mamas & The Papas,1,,65,1,spotify:track:0mKthKFxmw22frB6DX7yVx
27895,http://www.billboard.com/charts/hot-100/1966-11-12,11/12/1966,65,Mellow Yellow,Donovan,Mellow YellowDonovan,1,,65,1,spotify:track:4cix9zymmhisLuM56RDcB7
