,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
109,Children,spotify:track:27GXpXIncoRN9yloz7wXTv,27GXpXIncoRN9yloz7wXTv,Chloe-Ann Weston,93,0.376,0.177,9,1,0.84,0.976,80.0,0.147,0.027,-22.84,chill
110,Happy Now,spotify:track:6vrlqyJdDY3vZcivEPH4WI,6vrlqyJdDY3vZcivEPH4WI,Chloe-Ann Weston,93,0.347,0.256,5,0,0.6,0.979,140.037,0.258,0.0356,-23.878,chill
111,Kill Me Slow,spotify:track:1755gmMMQNNHqIWhTH0SHo,1755gmMMQNNHqIWhTH0SHo,Chloe-Ann Weston,93,0.512,0.128,8,1,0.72,0.875,159.909,0.422,0.0385,-27.14,chill
112,Lullaby,spotify:track:3caxXoh1J6v1PTT86UVW1w,3caxXoh1J6v1PTT86UVW1w,Chloe-Ann Weston,93,0.479,0.109,10,1,0.653,0.872,99.962,0.103,0.0284,-28.503,chill
113,Nights Like This,spotify:track:2ROW2Z9xAjGt55GrKgYl1Q,2ROW2Z9xAjGt55GrKgYl1Q,Chloe-Ann Weston,93,0.446,0.27,5,1,0.583,0.969,139.967,0.571,0.0326,-25.608,chill
114,Takeaway,spotify:track:1EKkLvc25rIeYoZgSHxLFN,1EKkLvc25rIeYoZgSHxLFN,Chloe-Ann Weston,93,0.283,0.133,7,1,0.92,0.785,159.44,0.166,0.0306,-22.76,chill
115,Rely,spotify:track:1zLGuXkoYECIm1VK2OOdmy,1zLGuXkoYECIm1VK2OOdmy,Dawid Palmer,94,0.667,0.129,2,1,0.0481,0.839,140.029,0.54,0.0486,-22.694,chill
116,Wicked Game,spotify:track:2nLPB2AjIOTz6BsKvLoWO3,2nLPB2AjIOTz6BsKvLoWO3,Dawid Palmer,94,0.316,0.147,5,0,0.944,0.939,100.056,0.155,0.0313,-25.082,chill
117,Could Be You,spotify:track:3SlFV6S4hoLWZI1GIFkI8W,3SlFV6S4hoLWZI1GIFkI8W,Dawid Palmer,94,0.434,0.217,3,1,0.127,0.929,120.014,0.246,0.0381,-23.037,chill
118,Energy,spotify:track:6ySILj0L0SdCDtI2WOfjkl,6ySILj0L0SdCDtI2WOfjkl,Dawid Palmer,94,0.903,0.132,1,1,0.812,0.952,139.902,0.884,0.129,-21.811,chill
119,Look into My Eyes,spotify:track:484Zutwn7VGAhH2hWAQM2Z,484Zutwn7VGAhH2hWAQM2Z,Dawid Palmer,94,0.282,0.363,7,1,0.242,0.971,80.002,0.932,0.037,-23.168,chill
120,About You,spotify:track:0H7RGLGjZfu2q29XcDha4g,0H7RGLGjZfu2q29XcDha4g,Dawid Palmer,94,0.474,0.217,10,0,0.925,0.898,140.014,0.197,0.0275,-25.371,chill
121,Find Your Lover,spotify:track:1VIwkSUurB28cfeNB1d7oe,1VIwkSUurB28cfeNB1d7oe,Dawid Palmer,94,0.618,0.0691,2,1,0.706,0.914,139.947,0.382,0.0313,-28.587,chill
122,Nice to Meet Ya,spotify:track:2eOegwASQmHyx9dQ9IdAfb,2eOegwASQmHyx9dQ9IdAfb,Dawid Palmer,94,0.363,0.209,0,1,0.434,0.933,119.892,0.202,0.0518,-24.01,chill
