,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
3093,Laying on my porch while we watch the world end.,spotify:track:1TYF5FyxFXC6bM2VOuNWhV,1TYF5FyxFXC6bM2VOuNWhV,0.664,0.399,6,1,0.791,0,133.904,0.424,0.0743,-11.661,Powfu,sad
3097,All Too Well,spotify:track:1q3RiD1tIWUpGsNFADMlvl,1q3RiD1tIWUpGsNFADMlvl,0.602,0.609,0,1,0.0382,0.0002,93.06,0.337,0.0243,-7.803,Taylor Swift,sad
3098,Broken Down,spotify:track:7EYXMGTDcK0H1YiGtYpfsj,7EYXMGTDcK0H1YiGtYpfsj,0.701,0.461,5,1,0.743,0,80.337,0.361,0.448,-10.5,Ollie,sad
3100,ghostin,spotify:track:2vdBo4ALPYbHRUPKgtE5iC,2vdBo4ALPYbHRUPKgtE5iC,0.287,0.364,9,1,0.418,1.8e-05,103.777,0.11,0.0306,-8.295,Ariana Grande,sad
3104,Unfaithful,spotify:track:4l9S9NFztZ0nrMZyakENh2,4l9S9NFztZ0nrMZyakENh2,0.777,0.213,10,1,0.562,0.889,141.19,0.563,0.16,-15.491,H E R B,sad
3105,One With the Wind,spotify:track:2TVVXlOqianxo3AbYe45mn,2TVVXlOqianxo3AbYe45mn,0.689,0.469,0,0,0.393,0.877,130.182,0.146,0.0391,-11.43,GentleBeatz,sad
3106,How To Never Stop Being Sad,spotify:track:6ZLt6fyonW1xOGMBC9vJPJ,6ZLt6fyonW1xOGMBC9vJPJ,0.414,0.245,7,1,0.952,0.761,97.236,0.132,0.0429,-17.929,dandelion hands,sad
3108,Save Me,spotify:track:4llpWUJEWKHGVZzYv1nYid,4llpWUJEWKHGVZzYv1nYid,0.491,0.362,2,1,0.91,0.881,159.002,0.35,0.277,-13.321,H E R B,sad
3109,Bad Idea!,spotify:track:4UtV7K4ekqVyRT6EyNQOon,4UtV7K4ekqVyRT6EyNQOon,0.713,0.342,9,0,0.469,0.155,129.935,0.694,0.0447,-16.991,Unclenathannn,sad
3110,It'll Be Alright,spotify:track:5ezVqhuo9PDNqsGKsKOPyG,5ezVqhuo9PDNqsGKsKOPyG,0.84,0.186,1,1,0.564,0,115.025,0.313,0.0851,-14.994,Teqkoi,sad
