,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
99,Hit 'Em Up - Single Version,spotify:track:4ENy0Hz7IsSf8lDz3to3FH,4ENy0Hz7IsSf8lDz3to3FH,2Pac,65,0.921,0.836,7,1,0.0405,0.0,95.187,0.581,0.243,-3.978,angry
100,California Love - Original Version,spotify:track:3djNBlI7xOggg7pnsOLaNm,3djNBlI7xOggg7pnsOLaNm,2Pac,65,0.761,0.847,7,1,0.0292,2.26e-06,91.519,0.765,0.0417,-3.068,angry
101,Welcome To The Party,spotify:track:0fIffclhgJC5h8AdMMVvkp,0fIffclhgJC5h8AdMMVvkp,Pop Smoke,66,0.637,0.723,2,1,0.0134,7.87e-05,143.013,0.228,0.091,-5.547,angry
102,Dior,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,66,0.548,0.805,7,1,0.212,0.000389,142.094,0.648,0.351,-5.732,angry
103,Wings,spotify:track:0MdSezTbC54SIPQkXrvHrp,0MdSezTbC54SIPQkXrvHrp,Shoreline Mafia,67,0.927,0.607,4,0,0.029,0.0,101.999,0.364,0.19,-5.372,angry
104,0 To 100 / The Catch Up,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,4jtyUzZm9WLc2AdaJ1dso7,Drake,12,0.559,0.716,11,0,0.737,0.0,176.618,0.504,0.39,-3.964,angry
105,Let's Go (feat. Big D & Twista),spotify:track:1fLibtVj3MrNTwRZq5yUOs,1fLibtVj3MrNTwRZq5yUOs,Trick Daddy,68,0.748,0.767,11,0,0.0267,0.0,133.929,0.519,0.172,-7.806,angry
106,Where The Hood At,spotify:track:6RUpJeXT6U4SPEafnr9Wr7,6RUpJeXT6U4SPEafnr9Wr7,DMX,24,0.537,0.948,8,1,0.151,0.0,186.151,0.792,0.355,-3.063,angry
107,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8,62vpWI1CHwFy7tMIcSStl8,J. Cole,44,0.692,0.521,10,0,0.301,0.0,100.45,0.463,0.33,-8.465,angry
108,I'm Different,spotify:track:6J5sxraPPZ4b0CVOGAgpXj,6J5sxraPPZ4b0CVOGAgpXj,2 Chainz,69,0.936,0.702,10,1,0.0473,0.0,97.524,0.704,0.0615,-5.305,angry
109,Work Out,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,2wAJTrFhCnQyNSD3oUgTZO,J. Cole,44,0.831,0.427,2,1,0.0531,0.0,93.004,0.216,0.106,-6.903,angry
110,Money Trees,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar,28,0.716,0.531,7,1,0.0703,0.0,71.994,0.344,0.122,-7.355,angry
111,Right Above It,spotify:track:1kMuU3TNQvHbqvXCWBodmP,1kMuU3TNQvHbqvXCWBodmP,Lil Wayne,25,0.376,0.841,3,0,0.0435,0.0,76.052,0.463,0.356,-4.348,angry
112,Mercy,spotify:track:4qikXelSRKvoCqFcHLB2H2,4qikXelSRKvoCqFcHLB2H2,Kanye West,22,0.563,0.496,6,0,0.0685,5.8e-05,139.993,0.426,0.406,-9.381,angry
113,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",spotify:track:4X5f3vT8MRuXF68pfjNte5,4X5f3vT8MRuXF68pfjNte5,A$AP Rocky,43,0.853,0.693,1,1,0.0239,0.0,95.967,0.662,0.275,-6.87,angry
114,Still D.R.E.,spotify:track:503OTo2dSqe7qk76rgsbep,503OTo2dSqe7qk76rgsbep,Dr. Dre,70,0.816,0.775,11,1,0.16,0.00031,93.431,0.527,0.234,-3.323,angry
115,I Don't Get Tired (#IDGT) (feat. August Alsina),spotify:track:6HMHgBHdLBQ0QYIaOp2gse,6HMHgBHdLBQ0QYIaOp2gse,Kevin Gates,71,0.492,0.698,1,1,0.0524,0.0,139.953,0.288,0.171,-5.606,angry
116,R.I.C.O. (feat. Drake),spotify:track:0Y0TOsE1q11qgbi7c5WZsG,0Y0TOsE1q11qgbi7c5WZsG,Meek Mill,30,0.727,0.599,1,1,0.317,0.0,167.909,0.386,0.327,-6.941,angry
117,Hell & Back,spotify:track:0TKWHD7sbO0CrEAdegPLZm,0TKWHD7sbO0CrEAdegPLZm,Kid Ink,64,0.597,0.545,8,1,0.339,0.0,134.043,0.344,0.102,-6.956,angry
118,Drop The World,spotify:track:3e21cX0CVwzkQXiHz7WUQZ,3e21cX0CVwzkQXiHz7WUQZ,Lil Wayne,25,0.663,0.91,1,1,0.0719,0.0,144.993,0.342,0.317,-1.629,angry
119,Strange Clouds (feat. Lil Wayne),spotify:track:0yQw3d0iQDjMrxaVHFv77J,0yQw3d0iQDjMrxaVHFv77J,B.o.B,72,0.531,0.665,8,0,0.0607,0.0,73.726,0.8,0.286,-6.672,angry
120,Alpha Omega,spotify:track:0Yvwo9fENGoa60k3ClwzQf,0Yvwo9fENGoa60k3ClwzQf,Machine Gun Kelly,41,0.783,0.729,6,0,0.0884,0.0,124.103,0.233,0.204,-6.398,angry
